Date,Open,High,Low,Close,Volume
2020-02-10,365.0,374.8,362.52,371.07,5294100
2020-02-11,373.75,378.11,369.72,373.69,4772900
2020-02-12,377.18,380.62,375.88,380.01,4624800
2020-02-13,376.96,385.37,376.51,381.4,4485400
2020-02-14,381.47,385.15,379.43,380.4,3736300
2020-02-18,379.3,389.54,379.19,387.78,5173900
2020-02-19,388.12,392.95,384.9,386.19,4896400
2020-02-20,386.56,389.7,376.68,386.0,4079400
2020-02-21,385.33,387.32,377.9,380.07,3930100
2020-02-24,364.76,372.82,361.0,368.7,6936400
2020-02-25,372.0,375.65,357.72,360.09,6481200
2020-02-26,366.31,382.0,365.0,379.24,8934100
2020-02-27,371.46,391.56,370.6,371.71,10949100
2020-02-28,364.21,376.77,356.8,369.03,11178600
2020-03-02,373.11,381.36,364.5,381.05,6997900
2020-03-03,381.03,393.52,367.4,368.77,8364600
2020-03-04,377.77,384.01,370.51,383.79,5487300
2020-03-05,381.0,391.4,368.64,372.78,8747000
2020-03-06,367.7,371.31,356.85,368.97,8147200
2020-03-09,343.86,357.47,341.72,346.49,7405500
2020-03-10,356.43,364.54,347.85,364.13,7604400
2020-03-11,358.92,362.98,344.79,349.92,6036000
2020-03-12,326.5,335.72,307.32,315.25,12071600
2020-03-13,330.51,336.42,307.39,336.3,9458200
2020-03-16,306.63,334.35,294.75,298.84,10559900
2020-03-17,306.19,322.9,290.25,319.75,10013900
2020-03-18,302.4,331.58,300.0,315.47,12593600
2020-03-19,324.33,348.51,316.82,332.03,10616000
2020-03-20,342.31,350.49,332.0,332.83,10853800
2020-03-23,347.89,366.11,340.88,360.27,13449400
2020-03-24,369.99,372.93,353.03,357.32,11638700
2020-03-25,361.02,362.0,339.17,342.39,8767200
2020-03-26,344.0,363.84,341.73,362.99,7229600
2020-03-27,359.09,368.56,353.0,357.12,7948800
2020-03-30,363.0,377.8,361.17,370.96,8622000
2020-03-31,367.93,383.01,366.44,375.5,9366500
2020-04-01,376.05,380.23,361.02,364.08,6672500
2020-04-02,364.08,370.99,360.06,370.08,4592500
2020-04-03,367.47,370.9,357.51,361.76,4860800
2020-04-06,365.22,380.29,361.71,379.96,8183900
2020-04-07,380.0,381.33,369.34,372.28,7046400
2020-04-08,374.01,378.39,368.31,371.12,6908900
2020-04-09,371.06,372.1,363.03,370.72,7711300
2020-04-13,371.31,400.51,367.7,396.72,11692900
2020-04-14,397.5,417.82,394.85,413.55,11581000
2020-04-15,413.0,434.98,412.25,426.75,13561200
2020-04-16,437.0,449.52,431.61,439.17,16128700
2020-04-17,431.0,432.0,414.7,422.96,12616300
