Date,Open,High,Low,Close,Volume
2020-02-10,22.49,22.66,21.65,21.7,13112200
2020-02-11,21.82,22.09,21.76,22.02,9181000
2020-02-12,22.09,22.32,22.09,22.27,12993500
2020-02-13,22.14,22.18,21.93,22.01,9202700
2020-02-14,22.04,22.2,22.03,22.16,8979300
2020-02-18,21.87,22.08,21.8,22.03,8465800
2020-02-19,22.14,22.42,22.03,22.22,13283600
2020-02-20,22.18,22.61,22.17,22.43,20458200
2020-02-21,22.35,22.57,22.3,22.49,16987100
2020-02-24,22.07,22.23,21.76,21.89,21989400
2020-02-25,22.77,23.71,22.49,23.13,44019200
2020-02-26,23.28,23.28,22.5,22.5,16657000
2020-02-27,22.05,22.15,21.53,21.68,23949100
2020-02-28,20.79,21.17,19.98,20.6,26358300
2020-03-02,20.71,21.68,20.58,21.66,15428100
2020-03-03,21.6,21.64,20.22,20.56,19957500
2020-03-04,20.81,21.44,20.56,21.4,18364200
2020-03-05,20.88,21.5,20.78,21.34,16562300
2020-03-06,20.7,21.29,20.7,21.21,12858900
2020-03-09,19.77,20.1,18.74,18.78,14985100
2020-03-10,19.5,20.33,18.81,19.79,9319500
2020-03-11,19.19,19.47,18.57,19.36,14195100
2020-03-12,17.4,18.57,16.35,17.51,12917200
2020-03-13,18.57,18.62,16.43,17.18,16605100
2020-03-16,15.72,15.72,14.32,14.46,16105100
2020-03-17,14.64,15.14,13.61,14.4,20724700
2020-03-18,13.55,14.0,12.73,13.11,11237900
2020-03-19,13.01,14.71,12.54,14.4,13536500
2020-03-20,14.42,14.8,13.59,13.95,17318900
2020-03-23,13.78,13.96,12.97,13.7,15106500
2020-03-24,14.29,15.64,14.01,15.47,14245700
2020-03-25,15.48,16.8,14.87,15.38,14110600
2020-03-26,15.53,18.21,15.31,17.94,20615300
2020-03-27,17.0,17.31,16.12,16.86,11273200
2020-03-30,16.93,18.09,16.55,17.84,11892700
2020-03-31,17.84,17.97,16.93,17.36,16771900
2020-04-01,16.25,16.67,14.61,14.84,18685400
2020-04-02,14.81,15.82,14.75,15.49,15832200
2020-04-03,15.39,15.7,14.21,14.48,12047500
2020-04-06,15.22,15.46,14.93,15.0,21196000
2020-04-07,15.7,16.09,15.08,15.12,23111100
2020-04-08,15.44,16.14,15.32,15.72,21466300
2020-04-09,16.03,16.49,15.83,15.97,14773100
2020-04-13,15.95,15.95,15.41,15.54,9803100
2020-04-14,15.91,16.15,15.53,15.92,17585800
2020-04-15,15.5,15.55,14.93,15.0,9487300
2020-04-16,15.05,15.34,14.55,15.24,12117400
2020-04-17,15.45,15.73,15.36,15.52,17718700
