Date,Open,High,Low,Close,Volume
2020-02-10,42.04,42.93,41.91,42.52,2193900
2020-02-11,42.61,43.15,42.09,42.85,2816500
2020-02-12,43.14,44.07,42.99,43.74,3254000
2020-02-13,43.4,43.52,42.69,43.05,2574800
2020-02-14,43.08,43.12,42.53,42.88,2218900
2020-02-18,42.64,42.7,41.81,42.26,3327900
2020-02-19,42.26,42.75,41.64,42.43,2975000
2020-02-20,42.38,43.89,42.25,43.17,3062300
2020-02-21,42.65,43.42,42.37,42.96,2448400
2020-02-24,41.35,41.96,40.85,41.59,2766400
2020-02-25,41.83,42.0,39.01,39.63,3623600
2020-02-26,39.83,40.29,38.48,38.59,4236300
2020-02-27,37.37,39.39,35.78,37.53,5744500
2020-02-28,36.21,38.33,36.17,37.75,4627400
2020-03-02,37.8,37.8,35.84,37.07,5781700
2020-03-03,38.44,38.67,35.27,36.09,11105300
2020-03-04,36.42,36.42,34.46,35.22,5865500
2020-03-05,34.15,34.68,32.8,32.92,6754300
2020-03-06,32.3,34.69,31.71,33.41,6341600
2020-03-09,30.93,31.62,29.99,31.34,5365600
2020-03-10,32.8,32.99,28.98,30.48,7072600
2020-03-11,29.49,29.59,27.09,27.43,7410800
2020-03-12,23.87,24.59,22.18,22.19,7803300
2020-03-13,23.72,24.01,21.26,23.9,9208500
2020-03-16,20.89,21.29,19.0,19.01,7129200
2020-03-17,19.3,19.35,15.95,17.0,11065700
2020-03-18,15.92,16.48,13.98,15.59,7246800
2020-03-19,15.35,18.07,14.36,17.18,8203200
2020-03-20,17.0,17.6,15.33,15.85,8900900
2020-03-23,15.6,15.79,12.85,13.09,14523900
2020-03-24,14.2,16.84,14.01,16.63,12213200
2020-03-25,17.39,18.3,15.89,17.7,11926900
2020-03-26,18.41,18.89,17.11,17.96,7977800
2020-03-27,16.77,18.26,15.77,17.55,8296100
2020-03-30,17.02,17.54,15.7,16.03,6602800
2020-03-31,15.92,16.46,14.45,14.59,8780400
2020-04-01,13.79,13.92,12.85,12.94,9759800
2020-04-02,12.9,13.77,11.52,11.71,10388500
2020-04-03,11.75,11.99,10.89,11.51,9657500
2020-04-06,12.42,14.59,12.31,14.15,14233700
2020-04-07,16.65,18.63,16.51,17.01,23043500
2020-04-08,17.95,18.5,17.0,17.52,14489300
2020-04-09,18.88,21.28,18.81,19.91,16693600
2020-04-13,20.42,20.9,17.92,18.79,10311200
2020-04-14,19.43,20.33,18.57,19.01,9173500
2020-04-15,17.6,18.47,17.08,17.69,7435700
2020-04-16,17.85,18.08,17.2,17.61,5448800
2020-04-17,18.96,19.7,18.03,18.48,10036100
