Date,Open,High,Low,Close,Volume
2020-02-10,8.15,8.15,8.05,8.06,71834900
2020-02-11,8.1,8.15,8.08,8.1,80164500
2020-02-12,8.14,8.33,8.13,8.24,111536800
2020-02-13,8.21,8.36,8.21,8.25,67648800
2020-02-14,8.27,8.27,8.08,8.1,46359700
2020-02-18,8.12,8.15,8.02,8.06,65094800
2020-02-19,8.06,8.1,8.0,8.0,69668200
2020-02-20,8.0,8.07,7.99,8.03,52318200
2020-02-21,8.02,8.03,7.89,7.89,58326300
2020-02-24,7.7,7.72,7.55,7.57,110048200
2020-02-25,7.68,7.68,7.22,7.23,108888300
2020-02-26,7.3,7.46,7.21,7.21,92469500
2020-02-27,7.13,7.28,6.92,6.97,118588200
2020-02-28,6.84,6.96,6.67,6.96,116546700
2020-03-02,7.11,7.23,6.88,7.2,96766000
2020-03-03,7.29,7.34,6.89,6.97,97457800
2020-03-04,7.09,7.09,6.92,7.08,70588100
2020-03-05,6.96,6.97,6.71,6.74,78070900
2020-03-06,6.6,6.68,6.4,6.49,109932200
2020-03-09,5.97,6.14,5.87,5.9,103901700
2020-03-10,6.26,6.29,5.8,6.26,101873600
2020-03-11,6.06,6.11,5.88,5.9,98587100
2020-03-12,5.38,5.69,5.2,5.35,89453100
2020-03-13,5.87,5.9,5.12,5.63,125375300
2020-03-16,5.04,5.22,5.0,5.01,110310900
2020-03-17,5.08,5.14,4.7,5.01,104233500
2020-03-18,4.75,4.84,4.1,4.5,125954700
2020-03-19,4.33,4.58,4.1,4.47,126603800
2020-03-20,4.54,4.75,4.25,4.33,129378600
2020-03-23,4.27,4.52,3.96,4.01,134925000
2020-03-24,4.47,4.99,4.26,4.95,146192100
2020-03-25,5.77,5.87,5.12,5.39,198999400
2020-03-26,5.36,5.65,5.16,5.25,138227600
2020-03-27,5.07,5.3,4.91,5.19,106324000
2020-03-30,5.11,5.12,4.93,5.03,97879700
2020-03-31,5.03,5.19,4.75,4.83,231800800
2020-04-01,4.63,4.77,4.36,4.4,119174500
2020-04-02,4.39,4.57,4.25,4.36,90891700
2020-04-03,4.4,4.42,4.17,4.24,85659900
2020-04-06,4.54,4.67,4.41,4.53,102205300
2020-04-07,4.85,5.03,4.63,4.71,115150400
2020-04-08,4.86,5.09,4.8,5.03,117022200
2020-04-09,5.51,5.75,5.24,5.37,175833700
2020-04-13,5.43,5.43,5.02,5.16,99320000
2020-04-14,5.27,5.44,5.16,5.29,74877000
2020-04-15,5.06,5.14,4.95,5.03,74727700
2020-04-16,5.06,5.07,4.89,4.94,58951200
2020-04-17,5.17,5.28,5.03,5.12,91989300
