Date,High,Low,Open,Close,Volume,Adj Close
2020-02-10,3352.260009765625,3317.77001953125,3318.280029296875,3352.090087890625,3450350000.0,3352.090087890625
2020-02-11,3375.6298828125,3352.719970703125,3365.8701171875,3357.75,3760550000.0,3357.75
2020-02-12,3381.469970703125,3369.719970703125,3370.5,3379.449951171875,3926380000.0,3379.449951171875
2020-02-13,3385.090087890625,3360.52001953125,3365.89990234375,3373.93994140625,3498240000.0,3373.93994140625
2020-02-14,3380.68994140625,3366.14990234375,3378.080078125,3380.159912109375,3398040000.0,3380.159912109375
2020-02-15,3380.68994140625,3366.14990234375,3378.080078125,3380.159912109375,3398040000.0,3380.159912109375
2020-02-16,3380.68994140625,3366.14990234375,3378.080078125,3380.159912109375,3398040000.0,3380.159912109375
2020-02-17,3380.68994140625,3366.14990234375,3378.080078125,3380.159912109375,3398040000.0,3380.159912109375
2020-02-18,3375.010009765625,3355.610107421875,3369.0400390625,3370.2900390625,3746720000.0,3370.2900390625
2020-02-19,3393.52001953125,3378.830078125,3380.389892578125,3386.14990234375,3600150000.0,3386.14990234375
2020-02-20,3389.14990234375,3341.02001953125,3380.449951171875,3373.22998046875,4007320000.0,3373.22998046875
2020-02-21,3360.760009765625,3328.449951171875,3360.5,3337.75,3899270000.0,3337.75
2020-02-22,3360.760009765625,3328.449951171875,3360.5,3337.75,3899270000.0,3337.75
2020-02-23,3360.760009765625,3328.449951171875,3360.5,3337.75,3899270000.0,3337.75
2020-02-24,3259.81005859375,3214.64990234375,3257.610107421875,3225.889892578125,4842960000.0,3225.889892578125
2020-02-25,3246.989990234375,3118.77001953125,3238.93994140625,3128.2099609375,5591510000.0,3128.2099609375
2020-02-26,3182.510009765625,3108.989990234375,3139.89990234375,3116.389892578125,5478110000.0,3116.389892578125
2020-02-27,3097.070068359375,2977.389892578125,3062.5400390625,2978.760009765625,7058840000.0,2978.760009765625
2020-02-28,2959.719970703125,2855.840087890625,2916.89990234375,2954.219970703125,8563850000.0,2954.219970703125
2020-02-29,2959.719970703125,2855.840087890625,2916.89990234375,2954.219970703125,8563850000.0,2954.219970703125
2020-03-01,2959.719970703125,2855.840087890625,2916.89990234375,2954.219970703125,8563850000.0,2954.219970703125
2020-03-02,3090.9599609375,2945.18994140625,2974.280029296875,3090.22998046875,6376400000.0,3090.22998046875
2020-03-03,3136.719970703125,2976.6298828125,3096.4599609375,3003.3701171875,6355940000.0,3003.3701171875
2020-03-04,3130.969970703125,3034.3798828125,3045.75,3130.1201171875,5035480000.0,3130.1201171875
2020-03-05,3083.0400390625,2999.830078125,3075.699951171875,3023.93994140625,5575550000.0,3023.93994140625
2020-03-06,2985.929931640625,2901.5400390625,2954.199951171875,2972.3701171875,6552140000.0,2972.3701171875
2020-03-07,2985.929931640625,2901.5400390625,2954.199951171875,2972.3701171875,6552140000.0,2972.3701171875
2020-03-08,2985.929931640625,2901.5400390625,2954.199951171875,2972.3701171875,6552140000.0,2972.3701171875
2020-03-09,2863.889892578125,2734.429931640625,2863.889892578125,2746.56005859375,8423050000.0,2746.56005859375
2020-03-10,2882.590087890625,2734.0,2813.47998046875,2882.22998046875,7635960000.0,2882.22998046875
