Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-05-16,,,,,,0.03461,0.0
1983-08-16,,,,,,0.03461,0.0
1983-11-15,,,,,,0.03461,0.0
1984-02-13,,,,,,0.03461,0.0
1984-05-14,,,,,,0.03461,0.0
1984-08-13,,,,,,0.03461,0.0
1984-11-19,,,,,,0.03461,0.0
1985-02-19,,,,,,0.03461,0.0
1985-05-13,,,,,,0.03461,0.0
1985-08-15,,,,,,0.03461,0.0
1985-11-14,,,,,,0.03461,0.0
1986-02-13,,,,,,0.03461,0.0
1986-05-15,,,,,,0.03461,0.0
1986-08-14,,,,,,0.03461,0.0
1986-11-13,,,,,,0.03461,0.0
1987-02-12,,,,,,0.03461,0.0
1987-05-15,,,,,,0.03461,0.0
1987-08-17,,,,,,0.03461,0.0
1987-11-16,,,,,,0.03461,0.0
1988-02-12,,,,,,0.03461,0.0
1988-05-16,,,,,,0.03461,0.0
1988-08-15,,,,,,0.03461,0.0
1988-11-15,,,,,,0.03461,0.0
1989-02-10,,,,,,0.03461,0.0
1989-05-15,,,,,,0.03994,0.0
1989-08-16,,,,,,0.03994,0.0
1989-11-14,,,,,,0.03994,0.0
1990-02-13,,,,,,0.03994,0.0
1990-05-15,,,,,,0.03994,0.0
1990-08-16,,,,,,0.04393,0.0
1990-11-14,,,,,,0.04393,0.0
1991-02-12,,,,,,0.04393,0.0
1991-05-16,,,,,,0.04393,0.0
1991-08-15,,,,,,0.04393,0.0
1991-11-15,,,,,,0.04393,0.0
1992-02-12,,,,,,0.04393,0.0
1992-05-13,,,,,,0.04659,0.0
1992-06-02,,,,,,0.0,2.0
1992-08-14,,,,,,0.04659,0.0
1992-11-12,,,,,,0.04659,0.0
1993-02-10,,,,,,0.04659,0.0
1993-05-13,,,,,,0.04659,0.0
1993-08-16,,,,,,0.04659,0.0
1993-11-12,,,,,,0.04659,0.0
1994-02-09,,,,,,0.04659,0.0
1994-05-12,,,,,,0.04659,0.0
1994-08-11,,,,,,0.04925,0.0
1994-11-09,,,,,,0.04925,0.0
1995-02-09,,,,,,0.04925,0.0
1995-05-11,,,,,,0.04925,0.0
1995-08-14,,,,,,0.04925,0.0
1995-11-13,,,,,,0.04925,0.0
1996-02-15,,,,,,0.04925,0.0
1996-05-14,,,,,,0.04925,0.0
1996-08-16,,,,,,0.05458,0.0
1996-11-14,,,,,,0.05458,0.0
1997-02-13,,,,,,0.05458,0.0
1997-05-15,,,,,,0.05458,0.0
1997-08-15,,,,,,0.0599,0.0
1997-09-03,,,,,,0.0,1.5
1997-11-14,,,,,,0.0599,0.0
1998-02-12,,,,,,0.0599,0.0
1998-05-14,,,,,,0.0599,0.0
1998-06-03,0.0,0.0,0.0,0.0,1900.0,0.0,0.0
1998-06-04,0.0,0.0,0.0,0.0,800.0,0.0,0.0
1998-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
