Date,Open,High,Low,Close,Volume
2020-02-10,36.63,36.85,35.65,35.96,34860300
2020-02-11,36.12,36.28,35.53,35.65,14464700
2020-02-12,36.19,37.02,36.17,36.79,20716400
2020-02-13,36.43,37.32,36.21,37.16,19621400
2020-02-14,37.0,37.35,36.58,36.91,12210400
2020-02-18,36.78,38.07,36.68,38.06,16793600
2020-02-19,38.09,38.91,37.94,38.77,19068600
2020-02-20,38.76,39.06,37.96,39.05,17273400
2020-02-21,38.67,38.76,38.04,38.31,15312000
2020-02-24,36.5,36.59,35.3,35.89,25155400
2020-02-25,36.18,36.45,34.89,35.21,19841300
2020-02-26,35.28,35.82,34.44,34.63,18044300
2020-02-27,33.73,34.2,32.47,33.01,27221400
2020-02-28,31.86,33.37,31.51,33.2,33688900
2020-03-02,36.0,36.86,35.14,35.82,39914700
2020-03-03,36.02,36.48,34.41,34.93,22973100
2020-03-04,35.76,36.0,34.77,36.0,14980300
2020-03-05,35.03,35.73,34.52,34.97,14132200
2020-03-06,33.81,33.99,32.51,33.46,20361100
2020-03-09,31.81,35.36,30.62,32.46,41767600
2020-03-10,33.9,34.78,33.12,34.31,27327600
2020-03-11,33.3,33.46,30.01,31.3,27445400
2020-03-12,29.08,29.69,26.7,26.78,32519500
2020-03-13,28.83,29.41,26.4,29.29,29059100
2020-03-16,26.12,28.35,23.92,24.04,28768100
2020-03-17,24.38,25.84,23.18,24.48,28741700
2020-03-18,22.95,23.49,20.0,22.0,31012700
2020-03-19,22.11,25.17,20.66,24.13,29980000
2020-03-20,24.97,25.86,23.7,23.95,28250700
2020-03-23,23.8,25.25,23.5,24.69,21882600
2020-03-24,25.79,26.46,24.13,25.85,32815900
2020-03-25,25.85,27.46,24.52,25.97,25738800
2020-03-26,26.15,27.03,25.63,26.41,20435300
2020-03-27,25.56,25.83,24.76,25.29,22069300
2020-03-30,25.25,25.94,24.6,25.59,20720800
2020-03-31,25.79,26.33,24.4,24.56,24993400
2020-04-01,23.7,24.39,23.05,23.32,20027000
2020-04-02,23.0,23.58,22.36,23.02,17114800
2020-04-03,24.1,24.32,22.75,23.09,25029700
2020-04-06,24.1,25.05,23.79,24.93,26014900
2020-04-07,25.97,26.86,25.31,25.61,25831100
2020-04-08,26.79,28.46,25.92,27.86,31240800
2020-04-09,28.48,29.05,27.28,27.77,22233200
2020-04-13,27.55,27.62,26.24,27.21,15059900
2020-04-14,28.0,28.41,27.6,27.94,13766200
2020-04-15,27.1,27.64,26.75,27.51,15822200
2020-04-16,26.86,27.17,25.96,26.55,21946600
2020-04-17,27.16,27.92,26.47,26.7,21129500
